GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Closure Compiler,com.google.javascript.jscomp.deps,JsFileParser.ModuleType,0,44,0,0,0,5,0,1,0,1
Closure Compiler,com.google.javascript.jscomp.deps,PathUtil,16,213,2,28,1,45,2,20,0,7
Closure Compiler,com.google.javascript.jscomp.deps,ModuleLoader.PathEscaper.new ModuleLoader.PathEscaper() {...},0,9,0,0,0,2,0,2,0,2
Closure Compiler,com.google.javascript.jscomp.deps,ModuleLoader.PathEscaper.new ModuleLoader.PathEscaper() {...},0,9,0,0,0,2,0,2,0,2
Closure Compiler,com.google.javascript.jscomp.deps,BrowserWithTransformedPrefixesModuleResolver.Factory,0,16,0,0,0,4,0,2,0,2
Closure Compiler,com.google.javascript.jscomp.deps,Es6SortedDependencies,3,414,2,60,1,95,2,39,0,10
Closure Compiler,com.google.javascript.jscomp.deps,NodeModuleResolver.Factory,0,20,0,0,0,6,0,3,0,3
Closure Compiler,com.google.javascript.jscomp.deps,WebpackModuleResolver,0,30,0,2,0,7,0,3,0,2
Closure Compiler,com.google.javascript.jscomp.deps,DependencyInfo.Require.Type,0,54,0,0,0,6,0,1,0,1
Closure Compiler,com.google.javascript.jscomp.deps,SimpleDependencyInfo.Builder,0,44,0,2,0,13,0,5,0,4
Closure Compiler,com.google.javascript.jscomp.deps,ModuleLoader.PathEscaper,0,24,0,0,0,3,0,1,0,1
Closure Compiler,com.google.javascript.jscomp.deps,DepsGenerator.InclusionStrategy,0,34,0,0,0,4,0,1,0,1
Closure Compiler,com.google.javascript.jscomp.deps,AutoValue_BrowserWithTransformedPrefixesModuleResolver_PrefixReplacement,39,60,7,5,5,19,7,5,1,5
Closure Compiler,com.google.javascript.jscomp.deps,NodeModuleResolver,0,434,2,52,0,83,2,36,0,11
Closure Compiler,com.google.javascript.jscomp.deps,ModuleLoader.PathResolver.new ModuleLoader.PathResolver() {...},0,8,0,0,0,2,0,2,0,2
Closure Compiler,com.google.javascript.jscomp.deps,ModuleLoader.PathResolver.new ModuleLoader.PathResolver() {...},0,13,0,0,0,2,0,2,0,2
Closure Compiler,com.google.javascript.jscomp.deps,DependencyInfo.Require.Builder,0,3,0,0,0,1,0,1,0,1
Closure Compiler,com.google.javascript.jscomp.deps,ClosureBundler.EvalMode.new ClosureBundler.EvalMode() {...},0,40,0,0,0,11,0,3,0,3
Closure Compiler,com.google.javascript.jscomp.deps,ClosureBundler.EvalMode.new ClosureBundler.EvalMode() {...},0,32,0,0,0,9,0,3,0,3
Closure Compiler,com.google.javascript.jscomp.deps,AutoValue_DependencyInfo_Require,24,94,3,7,2,24,4,9,1,7
Closure Compiler,com.google.javascript.jscomp.deps,ClosureBundler.EvalMode,0,24,0,0,0,3,0,1,0,1
Closure Compiler,com.google.javascript.jscomp.deps,BrowserWithTransformedPrefixesModuleResolver,15,175,1,15,2,46,1,13,0,6
Closure Compiler,com.google.javascript.jscomp.deps,DependencyInfo.Util,0,137,0,4,0,28,0,6,0,4
Closure Compiler,com.google.javascript.jscomp.deps,DepsGenerator,108,890,14,79,19,206,16,57,4,22
Closure Compiler,com.google.javascript.jscomp.deps,ModuleLoader.ResolutionMode,0,44,0,0,0,5,0,1,0,1
Closure Compiler,com.google.javascript.jscomp.deps,JsFileLineParser,80,606,18,94,11,140,18,50,1,11
Closure Compiler,com.google.javascript.jscomp.deps,ModuleLoader.NoopErrorHandler,0,1,0,0,0,1,0,1,0,1
Closure Compiler,com.google.javascript.jscomp.deps,ClosureBundler,81,198,4,10,13,40,11,16,7,13
Closure Compiler,com.google.javascript.jscomp.deps,JsFileLineParser.ParseException,0,10,0,0,0,4,0,2,0,2
Closure Compiler,com.google.javascript.jscomp.deps,BrowserWithTransformedPrefixesModuleResolver.PrefixReplacement,0,9,0,0,0,2,0,2,0,2
Closure Compiler,com.google.javascript.jscomp.deps,ModuleLoader.ModulePath,0,70,1,5,0,13,1,9,0,7
Closure Compiler,com.google.javascript.jscomp.deps,ClosureBundler.EscapeMode.new ClosureBundler.EscapeMode() {...},0,13,0,0,0,3,0,2,0,2
Closure Compiler,com.google.javascript.jscomp.deps,ClosureBundler.EscapeMode.new ClosureBundler.EscapeMode() {...},0,11,0,0,0,3,0,2,0,2
Closure Compiler,com.google.javascript.jscomp.deps,AutoValue_SimpleDependencyInfo.Builder,129,137,18,18,18,46,18,13,0,13
Closure Compiler,com.google.javascript.jscomp.deps,SourceCodeEscapers,60,89,0,0,11,17,1,2,1,2
Closure Compiler,com.google.javascript.jscomp.deps,DefaultDependencyResolver,0,181,0,18,0,43,0,18,0,9
Closure Compiler,com.google.javascript.jscomp.deps,ModuleResolver,2,155,0,14,1,38,1,12,1,5
Closure Compiler,com.google.javascript.jscomp.deps,SourceCodeEscapers.new ArrayBasedCharEscaper() {...},40,6,2,0,9,1,2,1,1,1
Closure Compiler,com.google.javascript.jscomp.deps,JsFileParser,33,551,12,123,4,129,10,68,0,10
Closure Compiler,com.google.javascript.jscomp.deps,ModuleLoader.PathResolver,0,24,0,0,0,3,0,1,0,1
Closure Compiler,com.google.javascript.jscomp.deps,ModuleLoader,7,313,1,29,1,71,1,29,0,15
Closure Compiler,com.google.javascript.jscomp.deps,DependencyInfo.Base,0,14,0,0,0,3,0,3,0,3
Closure Compiler,com.google.javascript.jscomp.deps,VirtualFile,2,53,2,4,1,12,2,7,0,6
Closure Compiler,com.google.javascript.jscomp.deps,AutoValue_DependencyInfo_Require.Builder,54,64,7,7,7,22,7,6,0,6
Closure Compiler,com.google.javascript.jscomp.deps,DepsFileParser,30,199,4,20,3,50,5,15,1,7
Closure Compiler,com.google.javascript.jscomp.deps,ServiceException,0,4,0,0,0,2,0,1,0,1
Closure Compiler,com.google.javascript.jscomp.deps,DependencyInfo.Require,0,70,0,0,0,14,0,10,0,10
Closure Compiler,com.google.javascript.jscomp.deps,WebpackModuleResolver.Factory,0,58,0,4,0,12,0,4,0,2
Closure Compiler,com.google.javascript.jscomp.deps,AutoValue_SimpleDependencyInfo,54,197,11,13,2,48,12,12,1,11
Closure Compiler,com.google.javascript.jscomp.deps,BrowserModuleResolver,0,59,0,4,0,13,0,5,0,3
