GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Closure Compiler,com.google.javascript.jscomp.deps,JsFileParser.ModuleType,0,44,0,0,0,5,0,1,0,1
Closure Compiler,com.google.javascript.jscomp.deps,PathUtil,16,213,2,28,1,45,2,20,0,7
Closure Compiler,com.google.javascript.jscomp.deps,Es6SortedDependencies,2,311,1,39,0,70,1,28,0,9
Closure Compiler,com.google.javascript.jscomp.deps,DepsGenerator.InclusionStrategy,0,34,0,0,0,4,0,1,0,1
Closure Compiler,com.google.javascript.jscomp.deps,NodeModuleResolver,1,390,3,45,1,73,3,31,0,10
Closure Compiler,com.google.javascript.jscomp.deps,ModuleLoader.PathResolver.new ModuleLoader.PathResolver() {...},0,8,0,0,0,2,0,2,0,2
Closure Compiler,com.google.javascript.jscomp.deps,ModuleLoader.PathResolver.new ModuleLoader.PathResolver() {...},0,13,0,0,0,2,0,2,0,2
Closure Compiler,com.google.javascript.jscomp.deps,DepsGenerator.new Function() {...},0,9,0,0,0,2,0,2,0,2
Closure Compiler,com.google.javascript.jscomp.deps,ClosureBundler.EvalMode.new ClosureBundler.EvalMode() {...},0,40,0,0,0,11,0,3,0,3
Closure Compiler,com.google.javascript.jscomp.deps,ClosureBundler.EvalMode.new ClosureBundler.EvalMode() {...},0,32,0,0,0,9,0,3,0,3
Closure Compiler,com.google.javascript.jscomp.deps,ClosureBundler.EvalMode,0,24,0,0,0,3,0,1,0,1
Closure Compiler,com.google.javascript.jscomp.deps,DependencyInfo.Util,0,124,0,4,0,28,0,5,0,3
Closure Compiler,com.google.javascript.jscomp.deps,DepsGenerator,71,619,9,53,14,139,10,42,3,18
Closure Compiler,com.google.javascript.jscomp.deps,NodeModuleResolver.new Comparator() {...},0,17,0,2,0,5,0,3,0,2
Closure Compiler,com.google.javascript.jscomp.deps,ModuleLoader.ResolutionMode,0,24,0,0,0,3,0,1,0,1
Closure Compiler,com.google.javascript.jscomp.deps,ModuleLoader.new Function() {...},0,6,0,0,0,2,0,2,0,2
Closure Compiler,com.google.javascript.jscomp.deps,JsFileLineParser,82,449,17,55,10,96,16,29,0,9
Closure Compiler,com.google.javascript.jscomp.deps,ModuleLoader.NoopErrorHandler,0,1,0,0,0,1,0,1,0,1
Closure Compiler,com.google.javascript.jscomp.deps,ClosureBundler,24,162,2,6,5,33,5,13,3,11
Closure Compiler,com.google.javascript.jscomp.deps,DependencyInfo.Util.new Function() {...},0,17,0,0,0,2,0,2,0,2
Closure Compiler,com.google.javascript.jscomp.deps,JsFileLineParser.ParseException,0,10,0,0,0,4,0,2,0,2
Closure Compiler,com.google.javascript.jscomp.deps,ModuleLoader.ModulePath,4,98,0,6,1,21,1,9,1,6
Closure Compiler,com.google.javascript.jscomp.deps,ClosureBundler.EscapeMode.new ClosureBundler.EscapeMode() {...},0,13,0,0,0,3,0,2,0,2
Closure Compiler,com.google.javascript.jscomp.deps,ClosureBundler.EscapeMode.new ClosureBundler.EscapeMode() {...},0,11,0,0,0,3,0,2,0,2
Closure Compiler,com.google.javascript.jscomp.deps,SourceCodeEscapers,60,89,0,0,11,17,1,2,1,2
Closure Compiler,com.google.javascript.jscomp.deps,DefaultDependencyResolver,0,181,0,18,0,43,0,18,0,9
Closure Compiler,com.google.javascript.jscomp.deps,ModuleResolver,2,102,0,10,1,27,1,9,1,4
Closure Compiler,com.google.javascript.jscomp.deps,SourceCodeEscapers.new ArrayBasedCharEscaper() {...},40,6,2,0,9,1,2,1,1,1
Closure Compiler,com.google.javascript.jscomp.deps,JsFileParser,34,387,5,80,4,91,5,47,0,9
Closure Compiler,com.google.javascript.jscomp.deps,ModuleLoader.PathResolver,0,24,0,0,0,3,0,1,0,1
Closure Compiler,com.google.javascript.jscomp.deps,ModuleLoader,23,311,3,30,3,69,4,28,1,14
Closure Compiler,com.google.javascript.jscomp.deps,DependencyInfo.Base,10,0,0,0,2,0,2,0,2,0
Closure Compiler,com.google.javascript.jscomp.deps,VirtualFile,2,53,2,4,1,12,2,7,0,6
Closure Compiler,com.google.javascript.jscomp.deps,DepsFileParser,30,175,4,18,3,39,5,14,1,7
Closure Compiler,com.google.javascript.jscomp.deps,ServiceException,0,4,0,0,0,2,0,1,0,1
Closure Compiler,com.google.javascript.jscomp.deps,BrowserModuleResolver,0,54,0,4,0,11,0,4,0,2
Closure Compiler,com.google.javascript.jscomp.deps,ModuleNames,0,190,0,24,0,51,0,20,0,8
Closure Compiler,com.google.javascript.jscomp.deps,SimpleDependencyInfo,32,147,5,13,2,28,6,16,1,12
Closure Compiler,com.google.javascript.jscomp.deps,SortedDependencies.MissingProvideException,0,9,0,0,0,4,0,2,0,2
Closure Compiler,com.google.javascript.jscomp.deps,ClosureBundler.EscapeMode,0,24,0,0,0,3,0,1,0,1
Closure Compiler,com.google.javascript.jscomp.deps,DependencyFile,41,134,5,9,4,33,4,11,0,8
Closure Compiler,com.google.javascript.jscomp.bundle,AutoValue_Source,6,284,4,24,0,56,3,25,0,14
Closure Compiler,com.google.javascript.jscomp.bundle,AutoValue_Source.Builder,129,171,18,18,18,55,18,15,0,15
Closure Compiler,com.google.javascript.jscomp.bundle,Transpiler,4,34,0,0,2,7,2,4,2,4
Closure Compiler,com.google.javascript.jscomp.bundle,CoverageInstrumenter.CompilerSupplier,0,34,0,0,0,12,0,3,0,3
Closure Compiler,com.google.javascript.jscomp.bundle,Source,0,41,0,0,0,14,0,5,0,5
Closure Compiler,com.google.javascript.jscomp.bundle,Source.Lazy,0,34,1,3,0,6,1,6,0,5
Closure Compiler,com.google.javascript.jscomp.bundle,Source.Builder,5,40,0,2,1,9,1,7,1,6
Closure Compiler,com.google.javascript.jscomp.bundle,CachedTransformer,11,20,0,0,4,4,2,3,2,3
Closure Compiler,com.google.javascript.jscomp.bundle,CoverageInstrumenter,2,16,0,0,1,6,1,4,1,4
Closure Compiler,com.google.javascript.jscomp.bundle,TranspilationException,49,74,4,4,10,17,8,4,5,3
Closure Compiler,com.google.javascript.jscomp.bundle,CompilerBasedTransformer.CompilerSupplier,1,147,1,5,1,39,1,10,0,8
Closure Compiler,com.google.javascript.jscomp.bundle,Source.Transformer,35,8,0,0,6,1,8,2,8,2
